artist_names,barcode,catalog_number,comments,condition,country,export_timestamp,external_id,format_names,format_quantity,genres,image_resource_url,image_uri,label_names,listing_id,location,master_id,master_url,posted,price_currency,price_value,primary_artist,primary_format,primary_label,release_community_have,release_community_want,release_id,release_resource_url,release_title,release_uri,release_year,resource_url,shipping_currency,shipping_price,sleeve_condition,status,styles,uri,weight
Anthony B / Heather Cummings,,none,"some dust, light scratches and surface noise but certainly playable",Very Good (VG),,2025-10-09T06:02:42.634025,,,1,,https://i.discogs.com/Gvb7LqtdyeMipwTHvNUKi13sMls9uiyCQng7jNLduf4/rs:fit/g:sm/q:90/h:589/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTExNjkz/NjA1LTE1MjA4MDc4/ODEtNjQ2Mi5qcGVn.jpeg,https://i.discogs.com/Gvb7LqtdyeMipwTHvNUKi13sMls9uiyCQng7jNLduf4/rs:fit/g:sm/q:90/h:589/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTExNjkz/NjA1LTE1MjA4MDc4/ODEtNjQ2Mi5qcGVn.jpeg,Colomino Records,3639550236,colin house,,,2025-06-27T15:36:31-07:00,USD,1.09,Anthony B / Heather Cummings,,Colomino Records,,,11693605,https://api.discogs.com/releases/11693605,Stop The Killing / I Don´t Want You Back,,0,https://api.discogs.com/marketplace/listings/3639550236,,,No Cover,For Sale,,https://www.discogs.com/sell/item/3639550236,60.0
Beenie Man,,none,"some dust, light scratches and surface noise but certainly playable",Very Good (VG),,2025-10-09T06:02:42.634053,,,1,,,,Goldmind Records,3639548934,colin house,,,2025-06-27T15:36:31-07:00,USD,1.09,Beenie Man,,Goldmind Records,,,8442225,https://api.discogs.com/releases/8442225,Love   ,,0,https://api.discogs.com/marketplace/listings/3639548934,,,No Cover,For Sale,,https://www.discogs.com/sell/item/3639548934,60.0
Buccaneer,,none,"some dust, light scratches and surface noise but certainly playable",Very Good (VG),,2025-10-09T06:02:42.634065,,,1,,https://i.discogs.com/89y6OwgkpgXJjGEE268DE9_oukSRZnA8_D62EkHeM0M/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIxMTc0/NzgtMTYxMjcxNDEy/NC04NjA4LmpwZWc.jpeg,https://i.discogs.com/89y6OwgkpgXJjGEE268DE9_oukSRZnA8_D62EkHeM0M/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIxMTc0/NzgtMTYxMjcxNDEy/NC04NjA4LmpwZWc.jpeg,Annex,3639550020,colin house,,,2025-06-27T15:36:31-07:00,USD,1.09,Buccaneer,,Annex,,,2117478,https://api.discogs.com/releases/2117478,Gal Yuh Mek It  ,,2000,https://api.discogs.com/marketplace/listings/3639550020,,,No Cover,For Sale,,https://www.discogs.com/sell/item/3639550020,60.0
The Crystal Method,,COA 77105-1,Horrible scratches. Leaving for huge fans of The Crystal Method if they want to complete a collection. ,Good (G),,2025-10-09T06:02:42.634076,audit 09/16/25,,1,,https://i.discogs.com/BZ0j5c5KbXBmJ27G7VEd3EQLaV6UgH4DPkH1LBKUvAg/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLXJfMTc5/NjItMDAxLmpwZw.jpeg,https://i.discogs.com/BZ0j5c5KbXBmJ27G7VEd3EQLaV6UgH4DPkH1LBKUvAg/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLXJfMTc5/NjItMDAxLmpwZw.jpeg,City Of Angels,3752512936,D1.1,,,2025-07-22T10:16:22-07:00,USD,1.09,The Crystal Method,,City Of Angels,,,17962,https://api.discogs.com/releases/17962,Keep Hope Alive,,1995,https://api.discogs.com/marketplace/listings/3752512936,,,Generic,For Sale,,https://www.discogs.com/sell/item/3752512936,230.0
Don Yute,,SPRO 7087 6 18396 1 6,VERY nice VG+++. Sticker on label w/ BPM,Very Good Plus (VG+),,2025-10-09T06:02:42.634086,,,1,,https://i.discogs.com/kfKQ7hMHiOHbm1pqx7uH4M7v79tNQv5_mpizT8vi5ko/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE2MTE2/NjMtMTQzMzM5NTY2/Mi0yNzczLmpwZWc.jpeg,https://i.discogs.com/kfKQ7hMHiOHbm1pqx7uH4M7v79tNQv5_mpizT8vi5ko/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE2MTE2/NjMtMTQzMzM5NTY2/Mi0yNzczLmpwZWc.jpeg,"Slip-N-Slide Records, Capitol Records",3645641799,D3,,,2025-06-27T15:36:31-07:00,USD,1.09,Don Yute,,"Slip-N-Slide Records, Capitol Records",,,1611663,https://api.discogs.com/releases/1611663,Row Da Boat,,2004,https://api.discogs.com/marketplace/listings/3645641799,,,Very Good Plus (VG+),For Sale,,https://www.discogs.com/sell/item/3645641799,230.0
Elephant Man,,none,"some dust, light scratches and surface noise but certainly playable",Very Good (VG),,2025-10-09T06:02:42.634096,,,1,,https://i.discogs.com/vPBxEkVwSl-YDfFvqUq5KQu_pvuUaG8PVQPrJLRXbvQ/rs:fit/g:sm/q:90/h:569/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTg1NzQx/MTktMTQ2NDMzNzQy/My0yMzE1LmpwZWc.jpeg,https://i.discogs.com/vPBxEkVwSl-YDfFvqUq5KQu_pvuUaG8PVQPrJLRXbvQ/rs:fit/g:sm/q:90/h:569/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTg1NzQx/MTktMTQ2NDMzNzQy/My0yMzE1LmpwZWc.jpeg,Goldmind Records,3639550872,colin house,,,2025-06-27T15:36:31-07:00,USD,1.09,Elephant Man,,Goldmind Records,,,8574119,https://api.discogs.com/releases/8574119,Scientifical Warfare,,0,https://api.discogs.com/marketplace/listings/3639550872,,,No Cover,For Sale,,https://www.discogs.com/sell/item/3639550872,60.0
Freeway,,DEFR 15573-1,Tiny scratches on both sides. Writing on cover and BPM sticker on label,Very Good Plus (VG+),,2025-10-09T06:02:42.634106,,,1,,https://i.discogs.com/XOgRIdjQG_wA_NELHcXSyICxdfEkK93_06T7gWhAsow/rs:fit/g:sm/q:90/h:600/w:596/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTgxMzQy/MTYtMTQ1NTc5Mjg3/MC0zMDczLmpwZWc.jpeg,https://i.discogs.com/XOgRIdjQG_wA_NELHcXSyICxdfEkK93_06T7gWhAsow/rs:fit/g:sm/q:90/h:600/w:596/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTgxMzQy/MTYtMTQ1NTc5Mjg3/MC0zMDczLmpwZWc.jpeg,Roc-A-Fella Records,3645642789,D3,,,2025-06-27T15:36:31-07:00,USD,1.09,Freeway,,Roc-A-Fella Records,,,8134216,https://api.discogs.com/releases/8134216,Line 'Em Up,,2002,https://api.discogs.com/marketplace/listings/3645642789,,,Very Good Plus (VG+),For Sale,,https://www.discogs.com/sell/item/3645642789,230.0
Isses / Sean Paul,,none,"some dust, light scratches and surface noise but certainly playable",Very Good (VG),,2025-10-09T06:02:42.634117,,,1,,https://i.discogs.com/w7pgWF9wNYm25dliQL8kScj-jtOG02DA2k8ONATIrr8/rs:fit/g:sm/q:90/h:585/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM0NzA2/MTAtMTQyNjQ1NDkz/Ny03NzI4LmpwZWc.jpeg,https://i.discogs.com/w7pgWF9wNYm25dliQL8kScj-jtOG02DA2k8ONATIrr8/rs:fit/g:sm/q:90/h:585/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM0NzA2/MTAtMTQyNjQ1NDkz/Ny03NzI4LmpwZWc.jpeg,Chalwa,3639547782,colin house,,,2025-06-27T15:36:31-07:00,USD,1.09,Isses / Sean Paul,,Chalwa,,,3470610,https://api.discogs.com/releases/3470610,Link Up / Trinity,,2006,https://api.discogs.com/marketplace/listings/3639547782,,,Very Good (VG),For Sale,,https://www.discogs.com/sell/item/3639547782,60.0
Lil Jon & The East Side Boyz*,,TV-2371-OP,Tiny scratches on B side. VG+ for sure,Very Good Plus (VG+),,2025-10-09T06:02:42.634126,,,1,,https://i.discogs.com/lgyEPUCj6iD0CCs0khhLFqrOtHCgWN8GAHf5KPUYPgM/rs:fit/g:sm/q:90/h:610/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIzMTk5/ODItMTcyNzcxMDk2/MC02OTMzLmpwZWc.jpeg,https://i.discogs.com/lgyEPUCj6iD0CCs0khhLFqrOtHCgWN8GAHf5KPUYPgM/rs:fit/g:sm/q:90/h:610/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIzMTk5/ODItMTcyNzcxMDk2/MC02OTMzLmpwZWc.jpeg,TVT Records,3645641358,D3,,,2025-06-27T15:36:31-07:00,USD,1.09,Lil Jon & The East Side Boyz*,,TVT Records,,,2319982,https://api.discogs.com/releases/2319982,I Don't Give A F***,,2002,https://api.discogs.com/marketplace/listings/3645641358,,,Very Good Plus (VG+),For Sale,,https://www.discogs.com/sell/item/3645641358,230.0
Nicky B / Chico (2),,none,"some dust, light scratches and surface noise but certainly playable",Very Good (VG),,2025-10-09T06:02:42.634136,,,1,,https://i.discogs.com/DX0m9ApRmm3sVHyY6l-Ka8ueZfqtC7Id6tXFKvrgNHM/rs:fit/g:sm/q:90/h:240/w:320/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM4NTE1/NDYtMTM0Njg3NDc3/NC0yMDA1LmpwZWc.jpeg,https://i.discogs.com/DX0m9ApRmm3sVHyY6l-Ka8ueZfqtC7Id6tXFKvrgNHM/rs:fit/g:sm/q:90/h:240/w:320/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM4NTE1/NDYtMTM0Njg3NDc3/NC0yMDA1LmpwZWc.jpeg,In Time Music,3639551196,colin house,,,2025-06-27T15:36:31-07:00,USD,1.09,Nicky B / Chico (2),,In Time Music,,,3851546,https://api.discogs.com/releases/3851546,All Night / Spin Yu Roll,,2004,https://api.discogs.com/marketplace/listings/3639551196,,,No Cover,For Sale,,https://www.discogs.com/sell/item/3639551196,60.0
